Vitesse,Pluie,Accident
"[88.50563721327687, 102.1536142591008, 108.64901694177634, 121.28568014244016, 131.60141863658234]","[0, 0, 0, 0, 0]",0
"[178.6119305675961, 183.00331380354802, 188.917912703965, 183.12352187893495, 184.86525577478793]","[1, 1, 1, 1, 1]",1
"[18.045620825510312, 61.36464593614444, 85.54753637443969, 104.33410044217918, 95.94052881367514]","[0, 0, 0, 0, 0]",0
"[138.9936847179179, 153.44569897474247, 135.63234505630504, 121.20006798436215, 136.4602654887286]","[1, 1, 1, 1, 1]",1
"[141.8833878358454, 154.27400697582976, 154.17539146546392, 161.16911734906006, 153.72622630048676]","[0, 0, 0, 0, 0]",1
"[42.525133081008406, 83.96758905717662, 94.44087067246853, 95.48996761023915, 93.67703269380243]","[0, 0, 0, 0, 0]",0
"[133.10779131153072, 140.45715362918057, 130.4247089853992, 119.26524913350752, 105.75411100955832]","[1, 1, 1, 1, 1]",1
"[196.3223060209667, 185.17521168488315, 192.2747812337026, 180.4386018718276, 174.63998818224297]","[1, 1, 1, 1, 1]",1
"[115.19091358904635, 106.02392110781487, 109.40134141135982, 102.90649092655804, 102.70360260018397]","[1, 1, 1, 1, 1]",1
"[7.881381000056509, 33.85349621184429, 57.00974699375882, 81.9092996938211, 92.11549619294762]","[0, 0, 0, 0, 0]",0
"[72.65639412163756, 91.39919091272105, 103.81517954316774, 109.3520743708034, 107.30930864444963]","[1, 1, 1, 1, 1]",1
"[22.308698452236353, 69.2830612884512, 89.87688027881723, 98.29084261464975, 107.90750064188248]","[0, 0, 0, 0, 0]",0
"[175.23592661628373, 187.97990911096946, 182.0967740223323, 176.32273669255548, 165.33498120666823]","[1, 1, 1, 1, 1]",1
"[89.93640616434632, 94.92630384614256, 97.55743915351765, 109.80980220977739, 102.7626538920119]","[1, 1, 1, 1, 1]",1
"[163.2609397278249, 175.79068936598327, 185.42884139376238, 196.9181765231373, 183.56753653304]","[1, 1, 1, 1, 1]",1
"[75.58602320180572, 92.5836546850055, 96.91781056479769, 111.40910265291137, 125.54273704758754]","[0, 0, 0, 0, 0]",0
"[5.177967171316888, 79.47569756394961, 91.11247581666629, 102.06732349372338, 102.81430610439229]","[0, 0, 0, 0, 0]",0
"[141.1180125490885, 153.90751600362555, 154.07527835223846, 143.55916692815032, 134.21548642193565]","[1, 1, 1, 1, 1]",0
"[38.996714530812014, 64.40241037554755, 89.18965063084737, 98.69323135432106, 112.75922231409788]","[1, 1, 1, 1, 1]",1
"[86.79655563361035, 105.45722727382808, 116.37490861128416, 135.77681958874663, 141.03358372632073]","[1, 1, 1, 1, 1]",1
"[76.72712439426361, 92.31447521422506, 102.23823881810142, 97.88526457313884, 98.28096809694037]","[0, 0, 0, 0, 0]",0
"[28.512828847170923, 74.85530408761672, 93.07600766154968, 108.61986880416237, 91.24546756983177]","[1, 1, 1, 1, 1]",1
"[93.43756932669174, 105.17020560374996, 111.5794981412401, 125.41543145165548, 141.3527757115788]","[0, 0, 0, 0, 0]",1
"[95.3682833302463, 95.5485569135496, 114.26666374236801, 108.54484215161709, 101.34799497040709]","[0, 0, 0, 0, 0]",0
"[137.03093835322503, 126.66703484628484, 122.05704261629936, 129.7471909553201, 114.46711665884858]","[1, 1, 1, 1, 1]",1
"[3.326135232232752, 74.7721873318674, 90.0790164264582, 96.51158238146762, 90.02107652692665]","[1, 1, 1, 1, 1]",1
"[89.0285559296526, 97.34598253630807, 96.6426937747591, 112.0396026353271, 105.63875740117881]","[1, 1, 1, 1, 1]",0
"[24.341187181217585, 80.46503790706173, 96.93859309734154, 93.02800492807366, 100.65630428328919]","[0, 0, 0, 0, 0]",0
"[169.35463226955733, 154.65601441797878, 172.00197537919053, 164.0198736114338, 146.62508763085773]","[1, 1, 1, 1, 1]",1
"[108.83815354526776, 114.32344164239284, 134.23053226544357, 151.077934483723, 157.70779122484953]","[0, 0, 0, 0, 0]",0
"[35.58432745355995, 79.82088654991796, 91.72089074347554, 110.17401679037863, 127.63249879052096]","[0, 0, 0, 0, 0]",0
"[175.98714692859127, 167.0756962563762, 149.54511729265852, 139.62317407198387, 126.720320591534]","[0, 0, 0, 0, 0]",0
"[78.8057550066481, 93.35807716041029, 106.5682039989737, 93.38796573828105, 104.9935371826323]","[1, 1, 1, 1, 1]",1
"[155.49420840000747, 150.35886964146857, 144.41438072581687, 125.6333893302021, 129.12575905457547]","[1, 1, 1, 1, 1]",1
"[89.14555026319681, 90.2946052669242, 101.30225726083688, 101.4722133028273, 116.31818930560297]","[1, 1, 1, 1, 1]",0
"[78.7327158523546, 96.40290435340916, 92.3597779909849, 94.00780317607979, 104.57145851270973]","[0, 0, 0, 0, 0]",0
"[176.24879731585906, 162.54548706131544, 149.10928617513918, 142.19054451803345, 146.5831752438433]","[0, 0, 0, 0, 0]",0
"[160.37295183556034, 140.85339441121528, 159.02430605396273, 177.31857953289193, 176.82822297714006]","[1, 1, 1, 1, 1]",1
"[192.61431380106603, 187.59468126588044, 178.5211447547618, 185.11824039345777, 194.59390761058324]","[0, 0, 0, 0, 0]",1
"[182.96096223848298, 178.82547271813198, 170.79032487794308, 171.31841742811275, 151.5375848005056]","[1, 1, 1, 1, 1]",1
"[193.5943703335367, 195.20264750636576, 178.7219361796248, 174.8318049174187, 184.03435526792333]","[1, 1, 1, 1, 1]",1
"[95.46103956240633, 106.4005126366634, 116.91573513469399, 120.55022585251749, 135.99167571585704]","[0, 0, 0, 0, 0]",0
"[114.36633398253193, 132.9067403883145, 123.99610815889677, 129.03665941819676, 139.21318015623098]","[1, 1, 1, 1, 1]",1
"[84.25729016681657, 92.591364946086, 90.98991176223885, 97.99214656720319, 106.16084285530776]","[0, 0, 0, 0, 0]",0
"[172.7328235290451, 188.56634921091938, 171.7345233186284, 165.93216466811842, 168.83958408491614]","[0, 0, 0, 0, 0]",0
"[176.39548435791897, 174.4296540141534, 164.6275134308583, 168.96433538667674, 158.86863461924924]","[1, 1, 1, 1, 1]",1
"[185.2111204587265, 176.61851034176058, 192.7863725422, 190.91844177065403, 173.5400723984009]","[0, 0, 0, 0, 0]",1
"[4.241377897542908, 84.96783967853577, 95.0635848324554, 92.32565115665307, 100.80580348987131]","[0, 0, 0, 0, 0]",0
"[197.697514467105, 193.41120974451945, 195.6040162598012, 187.51883287722245, 191.55755887280847]","[1, 1, 1, 1, 1]",1
"[182.39107650481228, 188.14402811494634, 193.14871226993614, 178.46750891743767, 194.6432749053938]","[0, 0, 0, 0, 0]",0
"[45.3305406655653, 68.63344261446235, 89.76791865016699, 102.6266498923765, 116.09921541896928]","[0, 0, 0, 0, 0]",0
"[60.108197658831465, 87.74290947919907, 103.50437051283313, 92.06661453511161, 98.86549373667381]","[1, 1, 1, 1, 1]",0
"[160.41917600401547, 149.34586430297776, 157.43509655351198, 145.4563357654066, 128.90938256805632]","[0, 0, 0, 0, 0]",1
"[156.1215838725658, 167.64232223547495, 181.9525968023727, 181.4913293124526, 183.49620304994465]","[1, 1, 1, 1, 1]",1
"[191.86219754910096, 183.22480822011502, 190.88096350713772, 184.71353185591985, 175.81227126901229]","[1, 1, 1, 1, 1]",1
"[197.70026663058542, 188.44884008331255, 182.931442058948, 177.27215479188956, 158.20754411708612]","[1, 1, 1, 1, 1]",1
